Seed: 202232327
M = [1, 4, 5, 0]
2.4215861401187637
2.5423765235806295
2.5741978379116164
2.6188025972468782
2.6912855474750907
2.763522234184303
2.8017295694413584
2.889082073937125
2.9033612775415274
2.9329622629008107
3.0077832425756585
3.0627527882710686
3.0637527882710685
3.06895211740334
3.072712398983627
3.212125675123296
3.235765879631401
3.2669670630153216
3.3701825000590215
3.462693490034871
3.4715837038912425
3.492195805823174
3.5322886233529323
3.5552263146979888
3.896584047867322
3.9608146118254015
3.977780399433659
3.9861292922720666
4.006579219366993
4.009871725919329
4.09421990301238
4.118135674019995
4.148747640985997
4.177192002344867
4.206526647526264
4.2351483765725
4.291717178480894
4.4003100538320306
4.566142656480647
4.639101755345085
4.7485213015004515
4.788707827707756
4.821546680893718
5.2918448304578165
5.447635685908684
5.557177858012719
5.650331815898157
5.669227459302294
5.715246842563267
5.783274451928064
5.787440834726215
5.842508241645878
6.032092005779413
6.081286674907875
6.0860157958259995
6.1206252860375505
6.234131047876594
6.244030107845962
6.274018501113388
M != Mz | [2, 1, 4, 5] |fs: [(6.577509285712279, 6.798487129125296)]
M != Mz | [2, 1, 4, 5] |fs: [(6.577509285712279, 6.798487129125296)]
M != Mz | [2, 1, 4, 5] |fs: [(6.577509285712279, 6.798487129125296)]
M != Mz | [2, 1, 4, 5] |fs: [(6.577509285712278, 6.798487129125294)]
M != Mz | [2, 1, 5, 4] |fs: [(6.798487129125294, 6.931364047879124)]
M != Mz | [2, 1, 5, 4] |fs: [(6.798487129125294, 6.931364047879124)]
M != Mz | [2, 1, 5, 4] |fs: [(6.7984871291252995, 6.931364047879113)]
6.932364047879114
7.064478306409726
7.110058314699705
7.174343043866831
7.350834317811276
7.358367342617386
7.401611241374506
7.549929149973711
7.81053567689666
8.23408257500038
8.244280361698964
8.820328165309219
8.864182700758333
8.92515012548236
9.070284861563197
9.82709066608805
10.675430007249144
10.849626370327071
10.958652912743936
11.050951481989603
11.329487633341703
11.33881155979894
11.479408193662712
11.482709552626194
11.577475301270875
11.802503597020987
12.287660972382797
12.445620138433533
13.147266118568794
13.408175290688279
13.494159970395245
13.754856705129415
13.976733496969421
14.004724601817248
14.043826489983573
14.117259643300772
14.938596773344257
15.259343327876172
16.205427908436334
17.106300724976766
18.724347244598206
0.8004191947346017

[Done] exited with code=0 in 82.778 seconds
